Sigle,Nuance,Etiquette,Candidat,Parti 
DXG,Divers extrême gauche,Gauche,Philippe POUTOU,NPA
DXG,Divers extrême gauche,Gauche,Nathalie ARTHAUD,LO
NUP,Nouvelle union populaire écologique et sociale,Gauche,Jean-Luc MÉLENCHON,LFI
NUP,Nouvelle union populaire écologique et sociale,Gauche,Fabien ROUSSEL,PCF
NUP,Nouvelle union populaire écologique et sociale,Gauche,Yannick JADOT,EELV
NUP,Nouvelle union populaire écologique et sociale,Gauche,Anne HIDALGO,PS
RDG,Parti radical de gauche,Gauche,,
DVG,Divers gauche,Gauche,,
ECO,Ecologistes,Gauche,,
DIV,Divers,Gauche,,
REG,Régionaliste,Autre,,
ENS,Ensemble !,Centre,Emmanuel MACRON,LREM
DVC,Divers centre,Centre,,
UDI,Union des Démocrates et des Indépendants,Centre,,
LR,Les Républicains,Droite,Valérie PECRESSE,LR
DVD,Divers droite,Droite,Nicolas DUPONT-AIGNAN,Debout la France
DVD,Divers droite,Droite,Jean LASSALLE,Résistons !
DSV,Droite souverainiste,Droite,,
REC,Reconquête !,Droite,Éric ZEMMOUR,Reconquête !
RN,Rassemblement National,Droite,Marine LE PEN,RN
DXD,Divers extrême droite,Droite,,
